"scenario","true_link_function","fitted_link_function","interaction_p","interaction_coef","dharma_uniformity_p","dharma_dispersion_p","dharma_quantile_fitted_p","dharma_quantile_predictor_p","dharma_categorical_design_p","dharma_valid_tests","dharma_tests_used","pregibon_link_test_p","dharma_wrong_uniformity_p","dharma_wrong_dispersion_p","dharma_wrong_quantile_fitted_p","dharma_wrong_quantile_predictor_p","dharma_wrong_categorical_design_p","dharma_wrong_valid_tests","dharma_wrong_tests_used","dharma_correct_uniformity_p","dharma_correct_dispersion_p","dharma_correct_quantile_fitted_p","dharma_correct_quantile_predictor_p","dharma_correct_categorical_design_p","dharma_correct_valid_tests","dharma_correct_tests_used","pregibon_wrong_p","pregibon_correct_p","aic_true_link_interaction","aic_fitted_link_interaction","aic_favors_true_link","aic_favors_fitted_link","aic_fitted_minus_true","target_fit_converged","target_fit_gradient_max","target_fit_hessian_min_eigen"
"Count errors","log","identity",0.003065773916952,-0.631848534085321,0.761274022594506,0.864,0.00570498304229017,9.4662002356749e-05,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",2.6780605632502e-06,0.761274022594506,0.864,0.00570498304229017,9.4662002356749e-05,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.864956787728815,0.328,0.994038082930427,0.789922653244137,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",2.6780605632502e-06,0.239376860569419,753.740219755952,774.239971173414,TRUE,FALSE,20.4997514174617,NA,NA,NA
"Count errors","log","identity",0.000268379819625796,-0.878311190322412,0.367888644971335,0.016,-2.27232108396258e-05,-6.43649234577381e-07,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",2.64941001886428e-10,0.367888644971335,0.016,-2.27232108396258e-05,-6.43649234577381e-07,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.416545561849365,0.896,0.0601690795089389,0.259199546526608,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",2.64941001886428e-10,0.0113471615460677,747.512117244105,790.346888823311,TRUE,FALSE,42.8347715792062,NA,NA,NA
"Count errors","log","identity",0.101696500094232,-0.411112019390398,0.98212842910221,0.592,0.737040186110664,0.0591094584166674,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.000387470097733478,0.98212842910221,0.592,0.737040186110664,0.0591094584166674,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.939515427673385,0.872,0.963805513000833,0.963091009446034,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.000387470097733478,0.661858966100321,721.08037387716,734.801846102465,TRUE,FALSE,13.7214722253052,NA,NA,NA
"Count errors","log","identity",0.00198694159161005,-0.762216561503884,0.438576283065534,0.432,0.0805345377595198,0.000412470790474573,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",4.62436669283926e-05,0.438576283065534,0.432,0.0805345377595198,0.000412470790474573,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.765240348992357,0.52,0.835372377220252,0.21765350006244,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",4.62436669283926e-05,0.484382246278227,722.460026734174,746.107977062625,TRUE,FALSE,23.6479503284505,NA,NA,NA
"Count errors","log","identity",1.84812241090518e-06,-1.21597836990153,0.610102986753522,0.072,0.00514274890554822,0.00501738977252475,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.26482362180224e-05,0.610102986753522,0.072,0.00514274890554822,0.00501738977252475,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.655208763216876,0.712,0.903451915225767,0.909428235557774,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.26482362180224e-05,0.707658113324878,752.408244874478,775.273661480756,TRUE,FALSE,22.8654166062782,NA,NA,NA
"Count errors","log","identity",0.000386125281444983,-0.869664106727477,0.705417547646785,0.552,0.176153133431056,0.00434105464939138,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.000144286900502974,0.705417547646785,0.552,0.176153133431056,0.00434105464939138,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.943535914176859,0.24,0.939262999394802,0.966252236220823,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.000144286900502974,0.413591359883247,742.368446661431,760.208937515236,TRUE,FALSE,17.8404908538055,NA,NA,NA
"Count errors","log","identity",4.39505746850691e-05,-0.934250821379876,0.538106037783751,0.144,0.00368626641508163,0,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.01026761903735e-09,0.538106037783751,0.144,0.00368626641508163,0,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.266868426058338,0.384,0.990449822058252,0.862313311141015,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.01026761903735e-09,0.597617146568772,734.185364077738,774.872660120108,TRUE,FALSE,40.68729604237,NA,NA,NA
"Count errors","log","identity",0.00465163195897913,-0.705204893349069,0.946564796186838,0.184,0.509885941447389,0.0175127214531976,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.00440954895384504,0.946564796186838,0.184,0.509885941447389,0.0175127214531976,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.910215469472449,0.24,0.992208422242915,0.499150572065629,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.00440954895384504,0.0748554405506691,715.177064829543,720.85251488252,TRUE,FALSE,5.67545005297688,NA,NA,NA
"Count errors","log","identity",2.99909726932597e-05,-0.984980390107321,0.884407606721926,0.088,0.471617190867754,0.00185144992228753,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.00492277676759533,0.884407606721926,0.088,0.471617190867754,0.00185144992228753,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.709325730945366,0.312,0.92747877804942,0.992601449642726,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.00492277676759533,0.350048978344868,758.865269550325,767.280679463768,TRUE,FALSE,8.41540991344345,NA,NA,NA
"Count errors","log","identity",0.000211371121455377,-0.91541634039083,0.945460958505222,0.664,0.616040205988202,0.0825030910189727,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.000320293406318318,0.945460958505222,0.664,0.616040205988202,0.0825030910189727,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.739641138015766,0.304,0.944046923061329,0.898362110608978,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.000320293406318318,0.50601074689698,720.087440497629,735.404505943479,TRUE,FALSE,15.3170654458499,NA,NA,NA
